776		2112		1171
2364		1445		1444
2557		2108		2109
240		1440		1813
172		240		1813
1396		2234		2238
2234		1396		1397
2527		1966		1965
1425		238		1495
1934		1989		2232
1992		1381		2232
1408		2234		1397
2516		1396		2527
2516		38		1409
2516		2527		38
2122		2563		2270
2477		1152		2270
1152		948		2270
1152		159		948
1467		1210		2250
744		1737		1763
543		678		2505
1449		1743		234
1743		1449		2505
1728		1743		2505
90		409		1451
2357		2230		2368
854		1664		1371
1842		1371		1845
1842		854		1371
854		1842		513
1865		517		1390
517		1865		1412
111		1194		1664
1371		1194		1177
1664		1194		1371
850		111		1664
1403		115		230
1231		1444		583
1231		793		1444
2076		2383		2327
1238		1717		793
1343		1238		793
2645		1789		2324
1789		911		1318
911		2645		1784
2645		911		1789
1012		1800		414
1800		1012		1620
669		2500		2501
1401		2444		1321
2500		2444		1401
1712		432		1717
1717		432		1714
432		1401		1714
1066		1063		1685
30		1082		422
386		1084		2350
1084		1517		2350
1577		2350		1510
1577		1695		2350
1528		2435		1529
2504		1116		1955
1116		2014		1955
2502		1731		408
543		2700		542
2700		543		2505
800		1201		1995
1488		951		2086
1488		1999		587
1999		1488		2086
2082		1488		587
951		1488		2082
384		586		1479
1482		586		2573
586		384		2573
2398		2254		1479
2254		384		1479
2254		2398		93
2573		2254		93
384		2254		2573
754		2005		1995
754		366		2005
1442		1356		342
2706		1356		1442
1622		2253		1015
637		1612		122
12		2078		2026
2160		2059		2008
2004		2009		2014
2009		1290		1313
2014		2009		1313
2380		777		1290
2009		2380		1290
2380		2009		2004
2380		2004		2546
2380		83		777
83		2380		2546
1289		2014		2072
1289		2004		2014
776		17		786
17		2479		786
1170		17		1171
17		776		1171
2479		17		2259
2110		17		1170
2100		2257		896
1988		406		2586
406		1988		1444
1445		406		1444
1992		2341		1813
2108		2564		2109
2564		2108		2125
1155		2564		2125
2125		2107		1809
2390		2107		2557
2107		2108		2557
2108		2107		2125
88		1399		1965
1966		88		1965
568		2527		2238
568		1966		2527
2239		1441		2557
2239		2557		2562
2239		2562		344
1399		2239		344
2241		748		1968
238		748		2241
1431		1980		1968
1431		1981		1980
1981		1431		1989
1934		938		1989
938		1934		2221
1578		2154		1283
1408		2701		2234
1441		2701		1440
1440		2701		1813
2701		1407		1813
1407		2701		1408
3		1407		1408
17		897		2259
897		17		2110
2563		897		2015
897		2110		2015
159		2271		948
2271		1174		948
